user_id,userid_DI
20665,MHxPC130499656
20669,MHxPC130514874
20670,MHxPC130218507
20679,MHxPC130463019
20684,MHxPC130307044
20687,MHxPC130128720
20698,MHxPC130074112
20706,MHxPC130315803
20713,MHxPC130319940
20715,MHxPC130419157
20721,MHxPC130487251
20723,MHxPC130225626
20742,MHxPC130333722
20748,MHxPC130151794
20750,MHxPC130392167
20751,MHxPC130303104
20759,MHxPC130527651
20763,MHxPC130114665
20764,MHxPC130377894
20770,MHxPC130082866
20773,MHxPC130417560
20775,MHxPC130489201
20778,MHxPC130493259
20782,MHxPC130107614
20791,MHxPC130251795
20796,MHxPC130178001
20800,MHxPC130385466
20807,MHxPC130178521
20813,MHxPC130505740
20816,MHxPC130537977
20821,MHxPC130101278
20826,MHxPC130548843
20830,MHxPC130228195
20831,MHxPC130517453
20833,MHxPC130409600
20835,MHxPC130240328
20838,MHxPC130542916
20841,MHxPC130167525
20851,MHxPC130201237
20853,MHxPC130217048
20858,MHxPC130425345
20860,MHxPC130389221
20866,MHxPC130428671
20872,MHxPC130332634
20875,MHxPC130373095
20877,MHxPC130493563
20878,MHxPC130017076
20888,MHxPC130356770
20892,MHxPC130259032
20896,MHxPC130116002
20899,MHxPC130360637
20911,MHxPC130372461
20914,MHxPC130250382
20920,MHxPC130176042
20933,MHxPC130145064
20940,MHxPC130365367
20944,MHxPC130051171
20949,MHxPC130585719
20951,MHxPC130089583
20952,MHxPC130205087
20970,MHxPC130231670
20972,MHxPC130233323
20976,MHxPC130140458
20977,MHxPC130033148
20983,MHxPC130586229
20985,MHxPC130236321
20986,MHxPC130565517
20987,MHxPC130291422
20988,MHxPC130148470
21005,MHxPC130581939
21013,MHxPC130594585
21017,MHxPC130547300
21019,MHxPC130256165
21024,MHxPC130350632
21025,MHxPC130157146
21027,MHxPC130283270
21029,MHxPC130039178
21040,MHxPC130495684
21041,MHxPC130022259
21043,MHxPC130465249
21045,MHxPC130089711
21049,MHxPC130035782
21051,MHxPC130543050
21052,MHxPC130329168
21060,MHxPC130356373
21063,MHxPC130492685
21067,MHxPC130150308
21068,MHxPC130340008
21071,MHxPC130269365
